,Species,Season,Inspected,Longitude,Latitude,Watered
236,ACER TRUNCATUM 'NORWEGIAN SUNSET',Spring 2019,Yes,-71.1525399987,42.292930039699996,No
237,ZELKOVA SERRATA 'GREEN VASE',Fall 2018,Yes,-71.1528899994,42.293080040300005,No
238,SYRINGA RETICULATA 'IVORY SILK',Spring 2019,Yes,-71.1422099999,42.2931100403,No
239,PRUNUS VIRGINIANA CANADA RED,Spring 2019,Yes,-71.1500299998,42.2931300402,No
240,PRUNUS ROSACEAE 'OKAME',Spring 2019,Yes,-71.11459000020001,42.2934400401,No
241,MALUS 'ROYAL RAINDROPS',Spring 2019,Yes,-71.1161900004,42.293470041199996,No
242,QUERCUS PHELLOS,Spring 2019,Yes,-71.1488299997,42.2936500402,No
243,ACER GINNALA FLAME,Spring 2019,Yes,-71.1470899989,42.2937000403,No
244,ULMUS CARPINIFOLIA 'ACCOLADE',Fall 2018,Yes,-71.1371999986,42.2937100402,No
245,TAXODIUM DISTICHUM,Fall 2018,Yes,-71.1395100002,42.29383004,No
246,MALUS SUGARTYME,Spring 2019,Yes,-71.15244,42.2938600409,No
247,MALUS 'GOLDEN RAINDROPS',Spring 2019,Yes,-71.1392099997,42.2943600399,No
248,MALUS 'GOLDEN RAINDROPS',Spring 2019,Yes,-71.1392099997,42.2943600399,No
249,OSTRYA VIRGINIANA,Spring 2019,Yes,-71.1486000004,42.294390041199996,No
250,ACER RUBRUM 'FRANK JR',Spring 2019,Yes,-71.0757499987,42.2947200403,No
251,MALUS 'GOLDEN RAINDROPS',Spring 2019,Yes,-71.1393600004,42.294810039699996,No
252,TILIA CORDATA 'GREEN SPIRE',Spring 2019,Yes,-71.1619200003,42.2948800403,No
253,ACER GINNALA FLAME,Spring 2019,Yes,-71.0837481111,42.2950571262,No
254,ACER CAMPESTRE 'QUEEN ELIZABETH',Spring 2019,Yes,-71.0845100001,42.2951200399,No
255,ACER CAMPESTRE 'QUEEN ELIZABETH',Spring 2019,Yes,-71.0842199997,42.2952300401,No
256,GLEDITSIA TRI. INERMIS SKYLINE,Spring 2019,Yes,-71.1352099993,42.2954400402,No
257,TILIA CORDATA 'GREEN SPIRE',Fall 2018,Yes,-71.1157397621,42.2958509332,No
258,ACER RUBRUM OCT. GLORY,Spring 2019,Yes,-71.13495,42.2959000398,No
259,ACER RUBRUM OCT. GLORY,Spring 2019,Yes,-71.06486,42.2959700412,No
260,ULMUS CARPINIFOLIA 'ACCOLADE',Spring 2019,Yes,-71.0641000002,42.2964100401,No
261,ZELKOVA SERRATA 'VILLAGE GREEN',Spring 2019,Yes,-71.1156199987,42.2964600393,No
262,ACER RUBRUM RED SUNSET,Fall 2018,Yes,-71.06445,42.2965400402,No
263,LIQUIDAMBAR STYR. 'HAPPI DAZE',Spring 2019,Yes,-71.0677899991,42.296820040300005,No
264,ACER RUBRUM 'FRANK JR',Spring 2019,Yes,-71.0676400002,42.2968600399,No
265,LIQUIDAMBAR STYR. 'HAPPI DAZE',Spring 2019,Yes,-71.0700599996,42.2970300398,No
266,LIQUIDAMBAR STYR. 'HAPPI DAZE',Spring 2019,Yes,-71.0700599996,42.2970300398,No
267,PYRUS CALLERYANA 'CHANTICLEER',Spring 2019,Yes,-71.07766057239999,42.2971815781,No
268,ACER TRUNCATUM 'NORWEGIAN SUNSET',Fall 2018,Yes,-71.0896700003,42.2972700398,No
269,PRUNUS ROSACEAE 'OKAME',Fall 2018,Yes,-71.1112900004,42.2973300397,No
270,QUERCUS ALBA,Spring 2019,Yes,-71.06507000010001,42.2976900397,No
271,MALUS 'ROYAL RAINDROPS',Spring 2019,Yes,-71.11206000039999,42.29787004,No
272,ZELKOVA SERRATA 'GREEN VASE',Fall 2018,Yes,-71.1103865046,42.2983111983,No
273,MALUS 'ROYAL RAINDROPS',Spring 2019,Yes,-71.0709099999,42.2984600399,No
274,MALUS 'ROYAL RAINDROPS',Spring 2019,Yes,-71.0709500001,42.2985800413,No
275,ULMUS WILSONIANA 'PROSPECTOR',Spring 2019,Yes,-71.0728814507,42.2986358088,No
276,GLEDITSIA TRI. INERMIS HALKA,Fall 2018,Yes,-71.1136899997,42.299280040300005,No
277,ACER RUBRUM OCT. GLORY,Spring 2019,Yes,-71.0731650003,42.2993380403,No
278,GLEDITSIA TRI. INERMIS SKYLINE,Fall 2018,Yes,-71.1134599987,42.2996400398,No
