OBJECTID,SITE_NAME,OWNERSHIP,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong
8335,Millennium Park II,City of Boston,West Roxbury,8.33,300 Gardner Str.,Open Space District,Urban Wilds & Natural Areas
8336,North Point Park,Commonwealth of Massachusetts,Central Boston,1.77174555, ,Special District,"Parks, Playgrounds & Athletic Fields"
8337,Bremen Street Park I,Massport,East Boston,17.79, ,Special District,"Parks, Playgrounds & Athletic Fields"
8338,South Bank Park,Commonwealth of Massachusetts,Central Boston,2.39,Beverley and Causeway Sts,Open Space District,"Parkways, Reservations & Beaches"
8340,Union Square Plaza,City of Boston,Allston-Brighton,0.07861218, ,Open Space District,"Malls, Squares & Plazas"
8342,Our Garden,City of Boston,East Boston,0.34129706, ,Residential District,Community Gardens
8357,Agassiz Community & School Garden,City of Boston,Jamaica Plain,0.1863999, ,Commercial/Office/Business District,Community Gardens
8361,Lombardi Memorial Park,BHA,East Boston,0.53, ,Residential District,"Malls, Squares & Plazas"
8362,Charlestown Parcel 6,MassDOT,Charlestown,0.12, ,Commercial/Office/Business District,"Malls, Squares & Plazas"
8363,West End Park,MassDOT,Central Boston,0.14,"Intersection of Nashua St, Lomasney Way & Martha Road",Special District,"Malls, Squares & Plazas"
8364,Urban Arboretum,MassDOT,Central Boston,1.95, ,Special District,"Malls, Squares & Plazas"
8365,Lincoln Street Green,MassDOT,Central Boston,0.18,17 South Street,Special District,"Malls, Squares & Plazas"
8366,Leather District Park,MassDOT,Central Boston,0.42,29-31 South Street,Special District,"Malls, Squares & Plazas"
8367,Chinatown Park,MassDOT,Central Boston,0.61, ,Open Space District,"Malls, Squares & Plazas"
8368,Armenian Heritage Park,MassDOT,Central Boston,0.25, ,Special District,"Malls, Squares & Plazas"
8370,Endicott Triangle,MassDOT,Central Boston,0.35,"Btwn Endicott, Stillman, & Cross Sts",Special District,"Malls, Squares & Plazas"
8371,RFK Greenway I,MassDOT,Central Boston,0.24, ,Special District,"Malls, Squares & Plazas"
8372,Dewey Square Parks,MassDOT,Central Boston,2.64, ,Special District,"Malls, Squares & Plazas"
8373,Dewey Square Plaza,MassDOT,Central Boston,0.58, ,Special District,"Malls, Squares & Plazas"
8374,Wormwood Park,Commonwealth of Massachusetts,South Boston,0.13,261 A Street,Industrial District,"Malls, Squares & Plazas"
8375,Federal Reserve Bank Harborwalk,City of Boston,Central Boston,0.08, ,Commercial/Office/Business District,"Malls, Squares & Plazas"
8376,Tufts Wharf Harborwalk,Private,Central Boston,0.73,510 Atlantic Avenue,Special District,"Malls, Squares & Plazas"
8377,Russia Wharf Harborwalk,Private,Central Boston,0.06, ,Special District,"Malls, Squares & Plazas"
8378,Atlantic Avenue Plantings,MBTA,Central Boston,0.58, ,Special District,"Malls, Squares & Plazas"
8379,Binford Street Park,Private,South Boston,0.45, ,Industrial District,"Malls, Squares & Plazas"
8381,Galvin Green,Commonwealth of Massachusetts,Charlestown,5.13, ,Open Space District,"Malls, Squares & Plazas"
8383,North End Park,MassDOT,Central Boston,2.83, ,Special District,"Malls, Squares & Plazas"
8384,Wharf District Park,MassDOT,Central Boston,4.71, ,Special District,"Malls, Squares & Plazas"
8385,McGann Park,City of Boston,Roslindale,0.88,420 West Str.,Residential District,"Parks, Playgrounds & Athletic Fields"
8387,Bay Village Garden,City of Boston,Central Boston,0.02, ,Open Space District,Community Gardens
8388,Pemberton Square Access,City of Boston,Central Boston,0.13, ,Special District,"Malls, Squares & Plazas"
8389,Prudential Center Plaza II,Private,Back Bay/Beacon Hill,1.09, ,Special District,"Malls, Squares & Plazas"
8390,Prudential Center Plaza III,Private,Back Bay/Beacon Hill,1.02, ,Special District,"Malls, Squares & Plazas"
8391,Bussey Brook Meadow II,MBTA,Roslindale,1.17,Opposite 376 Arborway Str.,Open Space District,Urban Wilds & Natural Areas
8393,Lewis Mall Harborpark,City of Boston,East Boston,0.25, ,Special District,"Malls, Squares & Plazas"
8394,Franklin Park II,City of Boston,Roxbury,16.44, ,Open Space District,"Parks, Playgrounds & Athletic Fields"
8396,O'Reilly Way Court,BHA,Charlestown,0.53, ,Residential District,"Parks, Playgrounds & Athletic Fields"
8401,Thoreau Path,Private,Central Boston,3.86, ,Residential District,"Malls, Squares & Plazas"
8402,UMass Boston Campus Ctr Oval,Commonwealth of Massachusetts,Dorchester,1.66, ,Institutional District,"Malls, Squares & Plazas"
